f_min,f_avg,cv_min,cv_avg
-137.30100000000002,-105.86911622276028,0.0,0.13922421307506053
-148.872,-99.92175780000001,0.0,1.5516902399999999
-148.872,-104.36217359999999,0.0,0.71392866
-145.237,-106.9906352,0.0,0.39712031999999997
-145.237,-107.64473500000001,0.0,0.19894014
-143.711,-105.402413,0.0,0.0
-143.711,-109.2602096,0.0,0.0
-143.711,-111.9522818,0.0,0.0
-145.683,-114.0407418,0.0,0.0
-146.93099999999998,-115.73776559999999,0.0,0.0
-147.538,-117.45771659999997,0.0,0.0
-158.60500000000005,-119.0214212,0.0,0.0
-159.361,-120.53261140000001,0.0,0.0
-159.361,-121.8184062,0.0,0.0
-159.361,-123.17966899999999,0.0,0.0
-159.361,-124.4199236,0.0,0.0
-159.361,-125.70899539999999,0.0,0.0
-160.15699999999998,-126.8824184,0.0,0.0
-162.78800000000004,-128.09867140000003,0.0,0.0
-162.78800000000004,-129.2923078,0.0,0.0
